25, 14
0,  5,   4,  5,   2,  5,  3,  4,  5, 5,   4,  4,  4,  5,  4,  5,  4,  5,  3,  5,  2,  5,  4,  5,  0
6,  7,  10, 11,   8, 10,  9, 10, 11, 10, 10, 11, 11, 10, 11, 10, 11, 10,  9, 10,  8, 10, 11, 10,  6
6, 13,  14, 14,  14, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 15, 14, 14, 14, 15, 15, 14, 14,  6
6, 13,  14, 15,  14, 14, 14, 15, 14, 14, 26, 26, 26, 26, 26, 13, 14, 14, 15, 14, 14, 14, 15, 14,  6
6, 13,  14, 14,  14, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14, 14, 14,  6
6, 13,  14, 26,  13, 14, 15, 14, 14, 15, 14, 14, 26, 13, 14, 14, 14, 14, 14, 14, 14, 26, 13, 14,  6
6, 13,  14, 26,  13, 14, 14, 26, 13, 14, 14, 26, 26, 26, 13, 14, 14, 26, 13, 14, 14, 26, 13, 15,  6
6, 13,  15, 26,  13, 14, 15, 26, 13, 14, 14, 26, 26, 26, 13, 15, 14, 26, 13, 14, 14, 26, 13, 15,  6
6, 13,  14, 26,  13, 14, 14, 14, 14, 14, 14, 15, 26, 13, 14, 14, 14, 14, 15, 14, 15, 26, 13, 14,  6
6, 13,  14, 14,  14, 14, 14, 15, 14, 15, 14, 14, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14, 14, 14,  6
6, 13,  14, 15,  14, 15, 14, 14, 14, 14, 26, 26, 26, 26, 26, 13, 14, 15, 14, 15, 14, 14, 15, 14,  6
6,  13, 14, 14,  14, 14, 14, 14, 15, 14, 14, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14,  6
0,   5,  5,  4,   2,  4,  3,  5,  4,  5,  4,  4,  5,  5,  4,  5,  5,  4,  3,  4,  2,  4,  5,  4,  4
10, 10, 11, 10,   8, 10,  9, 11, 10, 11, 10, 10, 11, 11, 10, 10, 11, 10,  9, 10,  8, 10, 10, 11, 10
