25, 14
0,  5,  4,  4,  2,  4,  3,  5,  5,  4,  5,  4,  5,  4,  4,  5,  5,  4,  3,  5,  2,  5,  4,  5, 0,
6,  2,  7,10,  8,  7, 9,  7,  7,  10,  10,  7,  10,  7,  10,  7,  7,  10, 9,  7,  8,  10,  7,  10, 6,
6, 13, 14, 14, 15, 14, 14, 14, 15, 15, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 6,
6, 13, 15, 14, 14, 14, 15, 14, 26, 13, 14, 14, 14, 15, 14, 15, 14, 14, 15, 14, 14, 15, 14, 14, 6,
6, 13, 26, 13, 14, 15, 14, 14, 26, 13, 14, 15, 14, 14, 26, 13, 14, 14, 26, 13, 14, 15, 14, 14, 6,
6, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 15, 14, 14, 14, 14, 14, 14, 15, 14, 14, 14, 14, 14, 6,
6, 13, 14, 26, 13, 14, 15, 15, 14, 14, 14, 14, 14, 15, 26, 13, 14, 14, 15, 14, 15, 14, 14, 14, 6,
6, 13, 14, 26, 13, 14, 14, 14, 26, 26, 13, 14, 14, 14, 14, 15, 15, 14, 14, 15, 14, 15, 14, 14, 6,
6, 13, 14, 15, 15, 14, 14, 14, 15, 14, 14, 14, 15, 14, 14, 15, 26, 13, 14, 14, 14, 14, 15, 14, 6,
6, 13, 14, 14, 15, 14, 15, 15, 14, 14, 15, 14, 14, 14, 14, 14, 26, 13, 15, 14, 26, 13, 14, 14, 6,
6, 13, 14, 14, 14, 14, 14, 26, 13, 14, 14, 15, 14, 14, 14, 14, 14, 14, 14, 15, 14, 14, 14, 14, 6,
6, 13, 15, 14, 14, 14, 14, 14, 15, 14, 14, 14, 14, 15, 14, 15, 14, 15, 14, 14, 14, 15, 14, 14, 6,
6,  4,  5,  4,  2,  4,  3,  4,  4,  5,  4,  5,  4,  5,  4,  4,  5,  4,  3,  5,  2,  5,  4,  5, 6,
7,  7,  10,  5,  8,  7, 9,  10,  7,  7,  7,  10,  10,  5,  10,  7,  10,  10, 9,  7,  8,  7,  10,  7, 7
